"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"MDI+CUT+LEV+CUB",1641,15,1694,1694,1694,0,NA,NA,NA
"KNN+LOG+PAR+CUB",1642,16,1694,1694,1694,0,NA,NA,NA
"MDI+NON+LEV+CUB",1643,17,1694,1694,1694,0,NA,NA,NA
"MDI+NON+POW+CUB",1644,18,1694,1694,1694,0,NA,NA,NA
"MDI+CUT+POW+CUB",1645,19,1694,1694,1694,0,NA,NA,NA
"MEI+CUT+LEV+CUB",1646,20,1694,1694,1694,0,NA,NA,NA
"MEI+CUT+POW+CUB",1647,21,1694,1694,1694,0,NA,NA,NA
"MEI+NON+LEV+CUB",1648,22,1694,1694,1694,0,NA,NA,NA
"MEI+NON+POW+CUB",1649,23,1694,1694,1694,0,NA,NA,NA
"KNN+NON+POW+CUB",1650,24,1694,1694,1694,0,NA,NA,NA
"HAM+LOG+AUT+CUB",1651,25,1694,1694,1694,0,NA,NA,NA
"HAM+NON+RAN+CUB",1652,26,1694,1694,1694,0,NA,NA,NA
"KNN+LOG+AUT+CUB",1653,27,1694,1694,1694,0,NA,NA,NA
"MDI+LOG+AUT+CUB",1654,28,1694,1694,1694,0,NA,NA,NA
"HAM+NON+PAR+CUB",1655,29,1694,1694,1694,0,NA,NA,NA
"MEI+LOG+AUT+CUB",1656,30,1694,1694,1694,0,NA,NA,NA
"KNN+NON+RAN+CUB",1657,31,1694,1694,1694,0,NA,NA,NA
"HAM+CUT+PAR+CUB",1658,32,1694,1694,1694,0,NA,NA,NA
"MDI+NON+RAN+CUB",1659,33,1694,1694,1694,0,NA,NA,NA
"MEI+LOG+VAS+CUB",1660,34,1694,1694,1694,0,NA,NA,NA
"MEI+NON+RAN+CUB",1661,35,1694,1694,1694,0,NA,NA,NA
"MDI+NON+PAR+CUB",1662,36,1694,1694,1694,0,NA,NA,NA
"KNN+NON+PAR+CUB",1663,37,1694,1694,1694,0,NA,NA,NA
"MEI+NON+PAR+CUB",1664,38,1694,1694,1694,0,NA,NA,NA
"MDI+LOG+VAS+CUB",1665,39,1694,1694,1694,0,NA,NA,NA
"HAM+CUT+RAN+CUB",1666,40,1694,1694,1694,0,NA,NA,NA
"KNN+CUT+PAR+CUB",1667,41,1694,1694,1694,0,NA,NA,NA
"HAM+LOG+LEV+CUB",1668,42,1694,1694,1694,0,NA,NA,NA
"HAM+NON+AUT+CUB",1669,43,1694,1694,1694,0,NA,NA,NA
"MDI+CUT+PAR+CUB",1670,44,1694,1694,1694,0,NA,NA,NA
"MEI+CUT+PAR+CUB",1671,45,1694,1694,1694,0,NA,NA,NA
"KNN+CUT+RAN+CUB",1672,46,1694,1694,1694,0,NA,NA,NA
"KNN+NON+AUT+CUB",1673,47,1694,1694,1694,0,NA,NA,NA
"MDI+CUT+RAN+CUB",1674,48,1694,1694,1694,0,NA,NA,NA
"MEI+CUT+RAN+CUB",1675,49,1694,1694,1694,0,NA,NA,NA
"MDI+LOG+LEV+CUB",1676,50,1694,1694,1694,0,NA,NA,NA
"MDI+NON+AUT+CUB",1677,51,1694,1694,1694,0,NA,NA,NA
"MEI+LOG+LEV+CUB",1678,52,1694,1694,1694,0,NA,NA,NA
"MEI+NON+AUT+CUB",1679,53,1694,1694,1694,0,NA,NA,NA
"HAM+CUT+AUT+CUB",1680,54,1694,1694,1694,0,NA,NA,NA
"KNN+CUT+AUT+CUB",1681,55,1694,1694,1694,0,NA,NA,NA
"KNN+LOG+LEV+CUB",1682,56,1694,1694,1694,0,NA,NA,NA
"MDI+CUT+AUT+CUB",1683,57,1694,1694,1694,0,NA,NA,NA
"MEI+CUT+AUT+CUB",1684,58,1694,1694,1694,0,NA,NA,NA
"HAM+LOG+VAS+CUB",1685,59,1694,1694,1694,0,NA,NA,NA
"KNN+LOG+VAS+CUB",1686,60,1694,1694,1694,0,NA,NA,NA
"HAM+NON+VAS+CUB",1687,61,1694,1694,1694,0,NA,NA,NA
"KNN+NON+VAS+CUB",1688,62,1694,1694,1694,0,NA,NA,NA
"MDI+NON+VAS+CUB",1689,63,1694,1694,1694,0,NA,NA,NA
"MEI+NON+VAS+CUB",1690,64,1694,1694,1694,0,NA,NA,NA
"HAM+CUT+VAS+CUB",1691,65,1694,1694,1694,0,NA,NA,NA
"KNN+CUT+VAS+CUB",1692,66,1694,1694,1694,0,NA,NA,NA
"MDI+CUT+VAS+CUB",1693,67,1694,1694,1694,0,NA,NA,NA
"MEI+CUT+VAS+CUB",1694,68,1694,1694,1694,0,NA,NA,NA
