"","Overall-Rank","Criteria.Ca-Rank","Criteria.Cb-Rank","Criteria.Cc-Rank","Criteria.Cd-Rank","Criteria.Ca-Value","Criteria.Cb-Value","Criteria.Cc-Value","Criteria.Cd-Value"
"HAM+NON+LIN+LEV",426,785,702,438,1,0.1282,0.6667,0.4917,1
"HAM+NON+MST+LEV",427,785,702,438,1,0.1282,0.6667,0.4917,1
"KNN+CUT+LEV+PQN",428,324,1178,426,1,0.0423,0.6667,0.4958,1
"HAM+CUT+MED+AUT",429,1019,702,210,1,0.242,0.6667,0.5708,1
"MEI+LOG+MEA+PAR",430,938,702,292,1,0.205,0.6667,0.5375,1
"HAM+CUT+POW+MED",431,232,1178,525,1,0.0218,0.6667,0.4708,1
"MDI+NON+QUA+AUT",432,1254,1,682,1,0.3591,1,0.4167,1
"KNN+NON+MST+NON",433,76,1541,321,1,1e-04,0.5,0.525,1
"HAM+CUT+LIW+NON",434,529,1178,233,1,0.091,0.6667,0.5625,1
"KNN+CUT+PAR+MED",435,648,1,1293,1,0.1035,1,0.1667,1
"KNN+LOG+PAR+LOE",436,968,1,980,1,0.212,1,0.2875,1
"KNN+CUT+MED+PAR",437,656,1,1293,1,0.1045,1,0.1667,1
"MDI+NON+RAN+MED",438,695,702,555,1,0.1086,0.6667,0.4625,1
"MEI+CUT+LIW+PAR",439,578,1178,197,1,0.0977,0.6667,0.575,1
"MEI+CUT+RAN+PQN",440,758,702,494,1,0.1141,0.6667,0.4792,1
"MEI+LOG+AUT+QUA",441,1280,1,675,1,0.3628,1,0.4208,1
"HAM+LOG+EIG+RAN",442,442,1178,337,1,0.0758,0.6667,0.5208,1
"MEI+LOG+VAS+NON",443,1142,1,817,1,0.3207,1,0.3667,1
"MEI+CUT+POW+LIW",444,235,1178,549,1,0.0223,0.6667,0.4667,1
"MDI+LOG+CON+NON",445,595,1178,195,1,0.0987,0.6667,0.5792,1
"MDI+NON+AUT+QUA",446,1259,1,713,1,0.3598,1,0.4042,1
"KNN+LOG+MED+NON",447,852,1,1120,1,0.1668,1,0.2167,1
"KNN+NON+RAN+PQN",448,665,702,606,1,0.1059,0.6667,0.4458,1
"HAM+NON+LIN+PAR",449,834,702,438,1,0.158,0.6667,0.4917,1
"HAM+NON+LEV+LIW",450,871,702,403,1,0.1708,0.6667,0.5083,1
"MEI+CUT+LEV+PQN",451,290,1178,509,1,0.0322,0.6667,0.4792,1
"HAM+CUT+QUA+POW",452,246,1178,555,1,0.0238,0.6667,0.4625,1
"MEI+LOG+LIW+RAN",453,658,702,623,1,0.1047,0.6667,0.4417,1
"HAM+LOG+CUB+VAS",454,1340,1,643,1,0.4423,1,0.4292,1
"HAM+LOG+EIG+PAR",455,942,702,342,1,0.2058,0.6667,0.5208,1
"MEI+CUT+AUT+MED",456,1277,1,713,1,0.3623,1,0.4042,1
"MEI+NON+LIW+POW",457,411,1178,402,1,0.0634,0.6667,0.5083,1
"MEI+LOG+PQN+VAS",458,1177,1,817,1,0.3298,1,0.3667,1
"HAM+NON+PAR+LIW",459,858,702,438,1,0.1676,0.6667,0.4917,1
"KNN+LOG+CON+RAN",460,531,1178,289,1,0.091,0.6667,0.5417,1
"MEI+LOG+AUT+MEA",461,1263,1,736,1,0.3608,1,0.4,1
"MEI+NON+LEV+LIW",462,818,660,527,1,0.1444,0.7222,0.4708,1
"HAM+NON+AUT+EIG",463,897,702,407,1,0.1821,0.6667,0.5042,1
"KNN+LOG+MEA+NON",464,859,1,1147,1,0.1677,1,0.2125,1
"MEI+LOG+CON+VAS",465,1035,702,272,1,0.2544,0.6667,0.5417,1
"HAM+CUT+LOE+NON",466,323,1178,509,1,0.0419,0.6667,0.4792,1
"HAM+LOG+EIG+NON",467,973,702,342,1,0.2154,0.6667,0.5208,1
"MDI+NON+LEV+LIW",468,789,702,527,1,0.1299,0.6667,0.4708,1
"MDI+NON+POW+LIW",469,370,1178,472,1,0.0506,0.6667,0.4833,1
"HAM+NON+LEV+PQN",470,774,1,1245,1,0.1233,1,0.1792,1
"MDI+LOG+PAR+LIW",471,977,702,342,1,0.2168,0.6667,0.5208,1
"MDI+NON+LIW+POW",472,387,1178,456,1,0.0568,0.6667,0.4917,1
"MDI+NON+RAN+MEA",473,687,702,633,1,0.108,0.6667,0.4375,1
"HAM+CUT+LEV+EIG",474,327,1178,525,1,0.0429,0.6667,0.4708,1
"KNN+NON+LEV+LIW",475,806,702,527,1,0.1383,0.6667,0.4708,1
"HAM+CUT+CUB+POW",476,187,1178,671,1,0.0131,0.6667,0.425,1
"MDI+LOG+QUA+NON",477,811,702,527,1,0.1389,0.6667,0.4708,1
"MEI+NON+LIW+PAR",478,998,702,342,1,0.2268,0.6667,0.5208,1
"HAM+NON+PAR+MED",479,848,702,494,1,0.1649,0.6667,0.4792,1
"MDI+CUT+RAN+LIW",480,766,1,1279,1,0.1199,1,0.1708,1
"MEI+LOG+AUT+MED",481,1270,1,776,1,0.3619,1,0.3792,1
"KNN+LOG+CON+AUT",482,1073,702,272,1,0.273,0.6667,0.5417,1
"MEI+NON+EIG+PAR",483,830,702,517,1,0.1534,0.6667,0.475,1
"HAM+CUT+LOE+LEV",484,362,1178,509,1,0.0474,0.6667,0.4792,1
"KNN+NON+LOE+PAR",485,1038,702,310,1,0.2587,0.6667,0.5292,1
"MDI+CUT+LIW+PAR",486,584,1178,289,1,0.0981,0.6667,0.5417,1
"MDI+LOG+VAS+LIW",487,1337,1,713,1,0.4384,1,0.4042,1
"KNN+CUT+RAN+LIW",488,674,702,675,1,0.1068,0.6667,0.4208,1
"KNN+CUT+LIW+PAR",489,676,702,675,1,0.1073,0.6667,0.4208,1
"MEI+CUT+RAN+LIW",490,713,702,639,1,0.1097,0.6667,0.4333,1
"KNN+LOG+PQN+VAS",491,1184,1,871,1,0.3325,1,0.3417,1
"HAM+CUT+QUA+NON",492,332,1178,549,1,0.0447,0.6667,0.4667,1
"HAM+NON+LEV+NON",493,769,1,1293,1,0.1215,1,0.1667,1
"MEI+LOG+RAN+LIW",494,739,702,623,1,0.1111,0.6667,0.4417,1
"HAM+LOG+EIG+AUT",495,1020,702,342,1,0.2423,0.6667,0.5208,1
"KNN+LOG+PQN+AUT",496,1195,1,871,1,0.3352,1,0.3417,1
"HAM+NON+MST+PAR",497,153,1457,461,1,0.0044,0.6667,0.4917,1
"MEI+CUT+PQN+AUT",498,1289,1,783,1,0.365,1,0.375,1
"KNN+NON+RAN+LIW",499,748,1,1326,1,0.1119,1,0.1583,1
"MEI+LOG+AUT+LOE",500,1273,1,803,1,0.3619,1,0.3708,1
"KNN+LOG+RAN+LIW",501,703,702,675,1,0.1091,0.6667,0.4208,1
"KNN+LOG+MED+PAR",502,964,1,1120,1,0.2108,1,0.2167,1
"HAM+NON+MED+NON",503,781,702,606,1,0.1261,0.6667,0.4458,1
"MEI+NON+MED+VAS",504,1152,1,938,1,0.323,1,0.3083,1
"MDI+NON+PAR+MED",505,853,702,537,1,0.167,0.6667,0.4667,1
"MDI+NON+PAR+EIG",506,757,702,633,1,0.114,0.6667,0.4375,1
"MEI+NON+LIW+LEV",507,1049,702,342,1,0.2618,0.6667,0.5208,1
"HAM+LOG+MEA+AUT",508,925,1,1172,1,0.2006,1,0.2083,1
"MDI+CUT+EIG+POW",509,182,1178,740,1,0.0117,0.6667,0.3958,1
"HAM+CUT+QUA+LEV",510,373,1178,549,1,0.0507,0.6667,0.4667,1
"HAM+CUT+PAR+EIG",511,450,1178,472,1,0.0782,0.6667,0.4833,1
"MEI+NON+MEA+AUT",512,1297,1,803,1,0.3675,1,0.3708,1
"HAM+CUT+PAR+PQN",513,654,702,746,1,0.1044,0.6667,0.3958,1
"MEI+LOG+CON+POW",514,453,1178,472,1,0.0789,0.6667,0.4833,1
"MEI+LOG+EIG+RAN",515,539,1178,388,1,0.0919,0.6667,0.5167,1
"MDI+CUT+AUT+MED",516,1233,1,871,1,0.3561,1,0.3417,1
"MEI+LOG+PQN+AUT",517,1290,1,817,1,0.3651,1,0.3667,1
"MEI+CUT+PQN+POW",518,196,1178,736,1,0.0155,0.6667,0.4,1
"HAM+LOG+QUA+PAR",519,1000,702,408,1,0.2278,0.6667,0.5,1
"HAM+LOG+QUA+NON",520,1008,702,408,1,0.2338,0.6667,0.5,1
"KNN+LOG+MEA+PAR",521,970,1,1147,1,0.2122,1,0.2125,1
"HAM+LOG+LOE+RAN",522,469,1178,472,1,0.0845,0.6667,0.4833,1
"HAM+CUT+CUB+NON",523,247,1178,697,1,0.0245,0.6667,0.4167,1
"MDI+CUT+POW+LIW",524,309,1178,637,1,0.0375,0.6667,0.4333,1
"MDI+NON+PAR+MEA",525,854,702,572,1,0.1671,0.6667,0.4542,1
"HAM+CUT+CUB+LEV",526,253,1178,697,1,0.028,0.6667,0.4167,1
"MDI+NON+MEA+RAN",527,714,702,713,1,0.1097,0.6667,0.4042,1
"HAM+CUT+EIG+POW",528,217,1178,736,1,0.0201,0.6667,0.4,1
"HAM+NON+PAR+LOE",529,843,702,589,1,0.1624,0.6667,0.45,1
"HAM+NON+LOE+POW",530,369,1178,589,1,0.0505,0.6667,0.45,1
"MEI+NON+MEA+VAS",531,1333,1,803,1,0.4312,1,0.3708,1
"HAM+LOG+LOE+NON",532,955,702,480,1,0.2086,0.6667,0.4833,1
"MEI+NON+EIG+LEV",533,443,1178,517,1,0.0758,0.6667,0.475,1
"KNN+LOG+PAR+MED",534,961,1,1187,1,0.2098,1,0.2042,1
"MEI+NON+LEV+MED",535,490,702,960,1,0.0862,0.6667,0.3,1
"HAM+NON+MED+PAR",536,844,702,606,1,0.1625,0.6667,0.4458,1
"HAM+LOG+LOE+PAR",537,971,702,480,1,0.2124,0.6667,0.4833,1
"MDI+CUT+AUT+QUA",538,1250,1,908,1,0.358,1,0.3208,1
"HAM+NON+PQN+NON",539,776,702,682,1,0.1235,0.6667,0.4167,1
"HAM+CUT+PQN+POW",540,228,1178,757,1,0.0213,0.6667,0.3917,1
"HAM+LOG+CUB+NON",541,819,702,643,1,0.1449,0.6667,0.4292,1
"HAM+NON+PAR+MEA",542,841,702,623,1,0.1617,0.6667,0.4417,1
"HAM+NON+LIN+RAN",543,533,1178,456,1,0.0912,0.6667,0.4917,1
"HAM+NON+MST+RAN",544,533,1178,456,1,0.0912,0.6667,0.4917,1
"HAM+CUT+LOE+RAN",545,483,1178,509,1,0.0857,0.6667,0.4792,1
"MEI+CUT+PQN+NON",546,271,1178,727,1,0.0307,0.6667,0.4042,1
"MDI+LOG+VAS+EIG",547,986,1,1189,1,0.2208,1,0.2,1
"MDI+LOG+CON+POW",548,455,1178,549,1,0.0804,0.6667,0.4667,1
"KNN+CUT+LIW+LEV",549,333,1178,672,1,0.0448,0.6667,0.4208,1
"HAM+NON+LEV+MEA",550,775,702,710,1,0.1235,0.6667,0.4083,1
"MDI+CUT+POW+EIG",551,183,1178,830,1,0.0121,0.6667,0.3667,1
"HAM+CUT+PQN+NON",552,316,1178,697,1,0.0405,0.6667,0.4167,1
"HAM+LOG+MEA+VAS",553,1018,1,1172,1,0.2417,1,0.2083,1
"KNN+NON+POW+PQN",554,553,1178,462,1,0.095,0.6667,0.4875,1
"MDI+NON+PAR+LOE",555,856,702,639,1,0.1674,0.6667,0.4333,1
"KNN+NON+VSN",556,1301,1,900,1,0.3687,1,0.3292,1
"MDI+NON+LIW+PAR",557,965,702,537,1,0.2113,0.6667,0.4667,1
"KNN+LOG+PAR+QUA",558,958,1,1245,1,0.2097,1,0.1792,1
"MEI+NON+LIN+AUT",559,1294,1,910,1,0.3665,1,0.3167,1
"MEI+NON+MST+AUT",560,1294,1,910,1,0.3665,1,0.3167,1
"MDI+LOG+AUT+QUA",561,1244,1,960,1,0.3568,1,0.3,1
"MDI+CUT+PAR+EIG",562,427,1178,601,1,0.0671,0.6667,0.4458,1
"MEI+CUT+PAR+LIW",563,647,702,860,1,0.1032,0.6667,0.3458,1
"KNN+LOG+RAN+MEA",564,621,702,886,1,0.1017,0.6667,0.3375,1
"HAM+CUT+PQN+LEV",565,336,1178,697,1,0.0453,0.6667,0.4167,1
"MDI+LOG+LIW+NON",566,1116,524,572,1,0.305,0.8889,0.4542,1
"HAM+CUT+EIG+NON",567,307,1178,727,1,0.0366,0.6667,0.4042,1
"MEI+CUT+PQN+RAN",568,730,702,783,1,0.1105,0.6667,0.375,1
"KNN+NON+LIN+VAS",569,1373,524,321,1,0.5898,0.8889,0.525,1
"KNN+NON+MST+VAS",570,1373,524,321,1,0.5898,0.8889,0.525,1
"HAM+LOG+PAR+PQN",571,1023,702,494,1,0.2459,0.6667,0.4792,1
"MEI+NON+POW+LIW",572,805,702,713,1,0.1381,0.6667,0.4042,1
"MDI+NON+LIW+NON",573,982,702,537,1,0.2201,0.6667,0.4667,1
"HAM+NON+PQN+PAR",574,837,702,682,1,0.1585,0.6667,0.4167,1
"KNN+LOG+RAN+MED",575,635,702,886,1,0.1023,0.6667,0.3375,1
"HAM+NON+QUA+POW",576,409,1178,637,1,0.063,0.6667,0.4333,1
"HAM+NON+CUB+POW",577,308,1178,740,1,0.0366,0.6667,0.3958,1
"MEI+CUT+POW+NON",578,199,1178,852,1,0.0156,0.6667,0.35,1
"HAM+LOG+LOE+VAS",579,1047,702,480,1,0.2614,0.6667,0.4833,1
"MEI+CUT+PQN+LEV",580,269,1178,783,1,0.0307,0.6667,0.375,1
"KNN+LOG+RAN+NON",581,637,702,892,1,0.1024,0.6667,0.3333,1
"HAM+NON+LIN+AUT",582,1092,702,438,1,0.2849,0.6667,0.4917,1
"HAM+NON+MST+AUT",583,1092,702,438,1,0.2849,0.6667,0.4917,1
"KNN+CUT+LOE+RAN",584,672,702,860,1,0.1065,0.6667,0.3458,1
"HAM+CUT+CON+RAN",585,522,545,1168,1,0.0898,0.8333,0.2083,1
"HAM+CUT+EIG+LEV",586,330,1178,727,1,0.044,0.6667,0.4042,1
"MEI+LOG+RAN+NON",587,725,702,817,1,0.1099,0.6667,0.3667,1
"HAM+LOG+CUB+PAR",588,899,702,643,1,0.1826,0.6667,0.4292,1
"HAM+LOG+LOE+AUT",589,1063,702,480,1,0.2691,0.6667,0.4833,1
"HAM+LOG+AUT+MED",590,1059,702,494,1,0.2662,0.6667,0.4792,1
"KNN+CUT+LOE+POW",591,230,1178,847,1,0.0216,0.6667,0.3542,1
"HAM+CUT+LOE+PAR",592,571,1178,509,1,0.0974,0.6667,0.4792,1
"HAM+NON+MED+RAN",593,480,1178,601,1,0.0857,0.6667,0.4458,1
"MEI+CUT+POW+MED",594,197,1178,886,1,0.0155,0.6667,0.3375,1
"HAM+CUT+LOE+AUT",595,1077,702,494,1,0.274,0.6667,0.4792,1
"MDI+CUT+LEV+LIW",596,371,1178,727,1,0.0506,0.6667,0.4042,1
"MDI+NON+MEA+PAR",597,868,702,713,1,0.1695,0.6667,0.4042,1
"KNN+NON+MED+RAN",598,623,702,960,1,0.1019,0.6667,0.3,1
"KNN+NON+MEA+AUT",599,941,587,759,1,0.2053,0.7778,0.3875,1
"HAM+LOG+RAN+PQN",600,601,1178,509,1,0.0994,0.6667,0.4792,1
"KNN+NON+RAN+NON",601,634,702,952,1,0.1022,0.6667,0.3042,1
"HAM+LOG+PQN+VAS",602,1079,1,1211,1,0.2756,1,0.1917,1
"HAM+LOG+RAN+MED",603,512,1178,601,1,0.0881,0.6667,0.4458,1
"MDI+NON+MED+RAN",604,692,702,900,1,0.1085,0.6667,0.3292,1
"MEI+CUT+RAN+NON",605,733,702,860,1,0.1106,0.6667,0.3458,1
"HAM+CUT+LEV+PQN",606,378,1178,740,1,0.052,0.6667,0.3958,1
"HAM+LOG+AUT+PQN",607,1103,702,494,1,0.2982,0.6667,0.4792,1
"HAM+NON+RAN+MED",608,536,1178,589,1,0.0915,0.6667,0.45,1
"HAM+LOG+CUB+RAN",609,464,1178,667,1,0.0834,0.6667,0.4292,1
"MEI+CUT+LEV+NON",610,277,1178,855,1,0.0309,0.6667,0.3458,1
"MEI+CUT+NON",611,279,1178,855,1,0.031,0.6667,0.3458,1
"HAM+NON+PQN+POW",612,394,1178,740,1,0.0591,0.6667,0.3958,1
"MDI+NON+EIG+PAR",613,829,702,783,1,0.1505,0.6667,0.375,1
"KNN+CUT+LOE+PAR",614,753,702,860,1,0.1127,0.6667,0.3458,1
"KNN+NON+PAR+PQN",615,1009,702,606,1,0.234,0.6667,0.4458,1
"MEI+NON+POW+NON",616,357,1178,783,1,0.0468,0.6667,0.375,1
"MEI+LOG+NON",617,802,702,817,1,0.1366,0.6667,0.3667,1
"HAM+CUT+CUB+PAR",618,446,1178,697,1,0.0761,0.6667,0.4167,1
"KNN+CUT+LEV+LIW",619,416,1178,727,1,0.0641,0.6667,0.4042,1
"MEI+LOG+PQN+NON",620,808,702,817,1,0.1385,0.6667,0.3667,1
"MDI+NON+EIG+POW",621,314,1178,838,1,0.0392,0.6667,0.3583,1
"MEI+NON+RAN+LIW",622,759,702,871,1,0.1142,0.6667,0.3417,1
"HAM+NON+MED+VAS",623,1024,702,606,1,0.2459,0.6667,0.4458,1
"HAM+CUT+AUT+MED",624,1076,702,555,1,0.2734,0.6667,0.4625,1
"HAM+NON+AUT+MED",625,1083,702,555,1,0.2794,0.6667,0.4625,1
"HAM+CUT+PQN+RAN",626,467,1178,697,1,0.0844,0.6667,0.4167,1
"HAM+CUT+EIG+RAN",627,437,1178,727,1,0.0743,0.6667,0.4042,1
"KNN+NON+LIW+PAR",628,1034,702,606,1,0.253,0.6667,0.4458,1
"MDI+LOG+LIW+PAR",629,1069,702,572,1,0.272,0.6667,0.4542,1
"KNN+CUT+LOE+LEV",630,312,1178,855,1,0.0382,0.6667,0.3458,1
"HAM+NON+AUT+LOE",631,1072,702,572,1,0.2727,0.6667,0.4542,1
"KNN+NON+PAR+QUA",632,1027,1,1326,1,0.2473,1,0.1583,1
"KNN+NON+LIW+RAN",633,577,1178,601,1,0.0977,0.6667,0.4458,1
"MEI+NON+MED+RAN",634,720,702,938,1,0.1098,0.6667,0.3083,1
"MDI+LOG+LIW+RAN",635,598,1178,584,1,0.0989,0.6667,0.4542,1
"MEI+NON+PQN+RAN",636,734,702,925,1,0.1109,0.6667,0.3125,1
"HAM+LOG+RAN+LIW",637,551,501,1309,1,0.0947,0.9444,0.1625,1
"MEI+NON+PQN+POW",638,352,1178,838,1,0.0464,0.6667,0.3583,1
"HAM+LOG+CON+NON",639,801,550,1018,1,0.1361,0.8333,0.2708,1
"HAM+NON+MED+AUT",640,1061,702,606,1,0.2666,0.6667,0.4458,1
"HAM+NON+QUA+PAR",641,866,702,803,1,0.1692,0.6667,0.3708,1
"MEI+NON+POW+PQN",642,364,1178,830,1,0.0483,0.6667,0.3667,1
"KNN+NON+LIW+LEV",643,596,1178,601,1,0.0988,0.6667,0.4458,1
"HAM+NON+PQN+RAN",644,501,1178,697,1,0.0871,0.6667,0.4167,1
"HAM+CUT+EIG+PAR",645,474,1178,727,1,0.0851,0.6667,0.4042,1
"MEI+NON+RAN+NON",646,740,702,938,1,0.1111,0.6667,0.3083,1
"HAM+NON+AUT+MEA",647,1075,702,606,1,0.2734,0.6667,0.4458,1
"MEI+LOG+PAR+MED",648,934,702,759,1,0.2043,0.6667,0.3875,1
"HAM+CUT+RAN+MED",649,523,1178,697,1,0.0899,0.6667,0.4167,1
"HAM+NON+PAR+QUA",650,847,702,852,1,0.1635,0.6667,0.35,1
"MEI+LOG+PAR+MEA",651,935,702,767,1,0.2043,0.6667,0.3833,1
"MDI+NON+EIG+LEV",652,444,1178,783,1,0.0758,0.6667,0.375,1
"KNN+CUT+LOE+NON",653,375,1178,855,1,0.0511,0.6667,0.3458,1
"MEI+LOG+PAR+LIW",654,969,702,753,1,0.2121,0.6667,0.3917,1
"HAM+CUT+EIG+AUT",655,1012,702,713,1,0.2354,0.6667,0.4042,1
"MEI+LOG+PAR+LOE",656,944,702,783,1,0.2062,0.6667,0.375,1
"HAM+CUT+PQN+AUT",657,1046,702,682,1,0.2612,0.6667,0.4167,1
"HAM+LOG+PAR+MED",658,963,702,767,1,0.2108,0.6667,0.3833,1
"HAM+NON+RAN+MEA",659,515,1178,740,1,0.0886,0.6667,0.3958,1
"HAM+NON+AUT+QUA",660,1091,702,643,1,0.2838,0.6667,0.4292,1
"MDI+NON+EIG+NON",661,476,1178,783,1,0.0852,0.6667,0.375,1
"KNN+LOG+LIW+RAN",662,594,1178,667,1,0.0987,0.6667,0.4292,1
"KNN+LOG+LIW+PAR",663,1096,702,643,1,0.2874,0.6667,0.4292,1
"KNN+CUT+LIW+RAN",664,593,1178,672,1,0.0985,0.6667,0.4208,1
"MEI+CUT+LEV+LIW",665,359,1178,907,1,0.0471,0.6667,0.325,1
"HAM+LOG+CUB+LEV",666,1102,702,643,1,0.2966,0.6667,0.4292,1
"KNN+NON+LIW+POW",667,489,1178,780,1,0.0861,0.6667,0.3792,1
"HAM+NON+PQN+AUT",668,1065,702,682,1,0.271,0.6667,0.4167,1
"HAM+LOG+CON+PAR",669,888,550,1018,1,0.1773,0.8333,0.2708,1
"MEI+LOG+PAR+NON",670,939,702,817,1,0.2051,0.6667,0.3667,1
"MDI+NON+MED+PAR",671,860,702,900,1,0.1677,0.6667,0.3292,1
"HAM+NON+CUB+LEV",672,438,1178,847,1,0.0745,0.6667,0.3542,1
"HAM+NON+POW+MED",673,401,1178,884,1,0.0609,0.6667,0.3417,1
"HAM+CUT+AUT+MEA",674,1057,702,708,1,0.2648,0.6667,0.4125,1
"HAM+CUT+RAN+PQN",675,549,1178,740,1,0.0944,0.6667,0.3958,1
"MEI+LOG+PQN+PAR",676,951,702,817,1,0.2077,0.6667,0.3667,1
"HAM+LOG+RAN+MEA",677,471,1178,833,1,0.0847,0.6667,0.3625,1
"HAM+CUT+LEV+MED",678,349,1178,960,1,0.0462,0.6667,0.3,1
"KNN+LOG+PAR+CON",679,659,1508,321,1,0.1048,0.6111,0.525,1
"KNN+NON+POW+MEA",680,532,1178,780,1,0.0911,0.6667,0.3792,1
"HAM+LOG+PAR+LOE",681,950,702,840,1,0.2077,0.6667,0.3583,1
"HAM+CUT+RAN+MEA",682,488,1178,830,1,0.086,0.6667,0.3667,1
"HAM+CUT+PAR+LOE",683,545,1178,780,1,0.0941,0.6667,0.3792,1
"MDI+NON+MEA+NON",684,599,1178,727,1,0.099,0.6667,0.4042,1
"MEI+NON+PQN+PAR",685,879,702,925,1,0.1726,0.6667,0.3125,1
"MEI+CUT+PAR+MED",686,575,1178,759,1,0.0976,0.6667,0.3875,1
"MEI+NON+MED+PAR",687,878,702,938,1,0.1723,0.6667,0.3083,1
"MEI+NON+PAR+NON",688,882,702,938,1,0.1737,0.6667,0.3083,1
"HAM+CUT+AUT+QUA",689,1068,702,753,1,0.272,0.6667,0.3917,1
"HAM+CUT+AUT+CON",690,1206,550,776,1,0.341,0.8333,0.3792,1
"MDI+CUT+PAR+CON",691,890,550,1094,1,0.1781,0.8333,0.2292,1
"MDI+NON+LEV+MED",692,477,1178,884,1,0.0853,0.6667,0.3417,1
"MEI+CUT+PQN+PAR",693,581,1178,783,1,0.098,0.6667,0.375,1
"HAM+CUT+AUT+PQN",694,1097,702,746,1,0.2875,0.6667,0.3958,1
"MEI+CUT+PAR+MEA",695,574,1178,800,1,0.0975,0.6667,0.3708,1
"HAM+CUT+PAR+MED",696,582,1178,800,1,0.098,0.6667,0.3708,1
"MDI+NON+EIG+RAN",697,603,1178,783,1,0.0995,0.6667,0.375,1
"HAM+LOG+PAR+MEA",698,940,702,925,1,0.2052,0.6667,0.3125,1
"KNN+CUT+PAR+LIW",699,948,702,925,1,0.2076,0.6667,0.3125,1
"HAM+LOG+AUT+MEA",700,1041,702,833,1,0.2596,0.6667,0.3625,1
"HAM+CUT+AUT+LOE",701,1045,702,833,1,0.2609,0.6667,0.3625,1
"HAM+LOG+AUT+LOE",702,1048,702,833,1,0.2614,0.6667,0.3625,1
"MEI+CUT+PAR+LOE",703,573,1178,847,1,0.0975,0.6667,0.3542,1
"MEI+NON+PQN+LEV",704,496,1178,925,1,0.0865,0.6667,0.3125,1
"HAM+CUT+PAR+MEA",705,546,1178,891,1,0.0942,0.6667,0.3333,1
"MEI+NON+LEV+NON",706,502,1178,937,1,0.0874,0.6667,0.3083,1
"MEI+CUT+PAR+NON",707,590,1178,855,1,0.0984,0.6667,0.3458,1
"HAM+LOG+VAS+MEA",708,1370,524,753,1,0.5811,0.8889,0.3917,1
"KNN+NON+PAR+NON",709,994,702,952,1,0.2235,0.6667,0.3042,1
"HAM+LOG+AUT+QUA",710,1056,702,892,1,0.2645,0.6667,0.3333,1
"KNN+NON+MED+PAR",711,989,702,960,1,0.2217,0.6667,0.3,1
"MDI+NON+MED+NON",712,585,1178,906,1,0.0981,0.6667,0.3292,1
"KNN+LOG+PAR+LIW",713,1054,702,938,1,0.2643,0.6667,0.3083,1
"KNN+NON+LEV+NON",714,567,1178,959,1,0.0962,0.6667,0.3042,1
"MDI+NON+AUT+CON",715,1366,550,860,1,0.5529,0.8333,0.3458,1
"HAM+CUT+CON+VAS",716,1078,550,1172,1,0.2741,0.8333,0.2083,1
"MEI+NON+PAR+CON",717,1039,1508,886,1516,0.2591,0.6111,0.3375,0.9444
"HAM+CUT+MST+NON",718,72,702,1053,1,0,0.6667,0.2375,1
"MDI+NON+MST+NON",719,73,702,1053,1,1e-04,0.6667,0.2375,1
"MEI+CUT+MST+NON",720,70,702,1120,1,0,0.6667,0.2167,1
"MDI+CUT+EIG+AUT",721,1113,702,141,1,0.3035,0.6667,0.6125,1
"KNN+LOG+SUM+VAS",722,1239,702,73,1,0.3565,0.6667,0.6875,1
"MEI+CUT+MEA+NON",723,278,702,1096,1,0.0309,0.6667,0.225,1
"MDI+LOG+CON+AUT",724,1207,702,188,1,0.3411,0.6667,0.5792,1
"MEI+CUT+LIW+AUT",725,1200,702,197,1,0.3371,0.6667,0.575,1
"MDI+NON+PAR+CON",726,1108,702,292,1,0.3008,0.6667,0.5375,1
"MEI+LOG+CON+AUT",727,1135,702,272,1,0.318,0.6667,0.5417,1
"MEI+CUT+MED+VAS",728,1134,1,998,1,0.3167,1,0.2833,1
"MEI+LOG+MED+VAS",729,1128,1,1009,1,0.3147,1,0.275,1
"MDI+CUT+LIW+AUT",730,1186,702,272,1,0.333,0.6667,0.5417,1
"KNN+LOG+AUT+QUA",731,1172,1,1033,1,0.3287,1,0.2542,1
"HAM+CUT+NON",732,317,702,1189,1,0.0407,0.6667,0.2,1
"KNN+LOG+CON+LEV",733,1237,702,272,1,0.3564,0.6667,0.5417,1
"KNN+NON+LOE+AUT",734,1208,702,310,1,0.3433,0.6667,0.5292,1
"KNN+LOG+EIG+VAS",735,1368,702,153,1,0.5687,0.6667,0.6083,1
"MEI+CUT+MEA+VAS",736,1131,1,1096,1,0.3163,1,0.225,1
"MDI+LOG+CON+LEV",737,1342,702,188,1,0.4471,0.6667,0.5792,1
"HAM+NON+LIW+VAS",738,1377,702,153,1,0.6077,0.6667,0.6083,1
"MDI+CUT+AUT+LOE",739,1219,1,1023,1,0.3519,1,0.2667,1
"KNN+NON+CON+PAR",740,1378,702,170,1,0.6082,0.6667,0.5917,1
"MDI+CUT+AUT+MEA",741,1227,1,1023,1,0.3542,1,0.2667,1
"MEI+LOG+MED+AUT",742,1252,1,1009,1,0.3588,1,0.275,1
"MEI+CUT+MED+AUT",743,1264,1,998,1,0.3609,1,0.2833,1
"MEI+NON+LIW+AUT",744,1224,702,342,1,0.3537,0.6667,0.5208,1
"MDI+LOG+VAS+PQN",745,1159,1,1120,1,0.3261,1,0.2167,1
"MDI+LOG+AUT+LOE",746,1232,1,1049,1,0.3556,1,0.2417,1
"KNN+LOG+LOE+VAS",747,1194,1,1087,1,0.335,1,0.2333,1
